Tishrei	1	Rosh Hashanah	Tashlikh must be performed in a salty body of water.
Tishrei	2	Rosh Hashanah	
Tishrei	9	Yom Kippur	It is customary after reading the Book of Jonah to offer a prayer to all lost mariners.
Tishrei	15	Sadot begins	Sadat is similar to terrestrial Sukkot, but one is required to build a covered raft rather than a booth. The moon must be visible through the canopy.
Tishrei	22	Sadot ends	
Tishrei	23	Simchat Torah	
Kislev	25	Migdalorah begins	The Festival of Beacons similar to the terrestrial Hanukah, but instead of lighting candles, one must visit a new lighthouse each day.
Tevet	3	Migdalorah ends	
Shvat	15	Tu b'Shvat	One must locate their local circle of estuarine kohanot and ask for an invitation. If they accede, you may worship their tree.  
Adar	14	Purim	
Nisan	15	Pesach begins	Unlike Terrestrial Ashkenazim, Atlantic Aquatic Jews may eat corn, potatoes, and other starches on Pesach.
Nisan	22	Pesach ends	
Iyar	18	Lag ba'Omer	Do not sail on this day.
Sivan	5	Shavuot	
Av	9	Tisha b'Av	Aquatic Jews mourn the destruction of the Temple, but don't pray for its rebuilding, for in their exile, the sea is their Temple.
